state_name,county_name,city_name,level,date,link,type,type_name
Iowa,,,state,2020-03-09,https://governor.iowa.gov/sites/default/files/documents/202003100818.pdf,1,Disaster Emergency
Iowa,,,state,2020-04-02,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Disaster%20Proclamation%20-%202020.04.02.pdf,2.5,Public Health Disaster Emergency
Kansas,,,state,2020-03-12,https://governor.kansas.gov/wp-content/uploads/2020/03/2020-03-12-Proclamation.pdf,1,State of Disaster Emergency
Kansas,,,state,2020-03-30,https://governor.kansas.gov/wp-content/uploads/2020/03/EO20-16.pdf,2,Stay Home
Kentucky,,,state,2020-03-06,https://governor.ky.gov/attachments/20200306_Executive-Order_2020-215.pdf,1,State of Emergency
Kentucky,,,state,2020-03-26,https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf,2.5,Healthy at Home
Louisiana,,,state,2020-03-11,https://gov.louisiana.gov/assets/Proclamations/2020/modified/25-JBE-2020-Public-Health-Emergency-COVID-19.pdf,1,Public Health Emergency
Louisiana,,,state,2020-03-23,https://gov.louisiana.gov/assets/Proclamations/2020/33-JBE-2020-Public-Health-Emergency.pdf,2,Stay at Home
Maine,,,state,2020-03-15,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Proclamation%20of%20State%20of%20Civil%20Emergency%20To%20Further%20Protect%20Public%20Health.pdf,1,State of Civil Emergency
Maine,,,state,2020-04-02,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/CORRECTED_An%20Order%20Regarding%20Further%20Restrictions%20on%20Public%20Contact%20and%20Movement%2C%20Schools%2C%20Vehicle%20Travel%20and%20Retail%20Business%20Operations.pdf,2,Stay at Home
Maryland,,,state,2020-03-05,https://governor.maryland.gov/wp-content/uploads/2020/03/Proclamation-COVID-19.pdf,1,"State of Emergency, Existence of Catastrophic Health Emergency"
Maryland,,,state,2020-03-30,https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-FOURTH-AMENDED-3.30.20.pdf,2,Stay-at-Home
Massachusetts,,,state,2020-03-10,https://www.mass.gov/executive-orders/no-591-declaration-of-a-state-of-emergency-to-respond-to-covid-19,1,State of Emergency
Massachusetts,,,state,2020-03-24,https://www.mass.gov/doc/march-23-2020-essential-services-and-revised-gatherings-order/download,2.5,Stay-at-Home
Michigan,,,state,2020-03-11,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-521576--,00.html",1,State of Emergency
Michigan,,,state,2020-03-24,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html",2,"Stay Home, Stay Safe"
Minnesota,,,state,2020-03-13,https://www.leg.state.mn.us/archive/execorders/20-01.pdf,1, Peacetime Emergency
